car_name,year,selling_price,present_price,kms_driven,fuel_type,seller_type,transmission,owner,conversion,gbp_selling_price,gbp_present_price
swift,2014,4.95,7.49,39000,Diesel,Dealer,Manual,0,0.010144755516464432,5021.653980649894,8758.912398012464
ertiga,2014,6.0,9.95,45000,Diesel,Dealer,Manual,0,0.010144755516464432,6086.853309878659,11635.671343154072
dzire,2014,5.5,8.06,45000,Diesel,Dealer,Manual,0,0.010144755516464432,5579.615534055438,9425.47849505747
sx4,2011,2.95,7.74,49998,CNG,Dealer,Manual,0,0.013090513043387196,3861.701347799224,9051.265949347991
dzire,2015,4.65,7.2,48767,Petrol,Dealer,Manual,0,0.010129044020825314,4710.005469683772,8419.782278463252
800,2003,0.3499999999999999,2.28,127000,Petrol,Individual,Manual,0,0.012863572805892546,450.22504820623914,2666.2643881800286
alto k10,2016,3.0,3.76,10079,Petrol,Dealer,Manual,0,0.011403847886353811,3421.154365906144,4396.997412086364
sx4,2003,2.25,7.98,62000,Petrol,Dealer,Manual,0,0.012863572805892546,2894.303881325823,9331.925358630102
baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,0,0.011403847886353811,6671.2510135169805,9203.289796042469
alto k10,2014,2.55,3.98,46706,Petrol,Dealer,Manual,0,0.010144755516464432,2586.91265669843,4654.26853726163
sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,0,0.012747216326634671,2485.7071836937607,8361.311568196144
dzire,2014,5.5,8.06,45780,Diesel,Dealer,Manual,0,0.010144755516464432,5579.615534055438,9425.47849505747
omni,2012,1.25,2.69,50000,Petrol,Dealer,Manual,0,0.011631788748105472,1453.973593513184,3145.7242123702968
ciaz,2014,7.5,12.04,15000,Petrol,Dealer,Automatic,0,0.010144755516464432,7608.566637348324,14079.7470323191
ritz,2013,2.65,4.89,64532,Petrol,Dealer,Manual,0,0.010172339780562286,2695.670041849005,5718.435464122957
wagon r,2006,1.05,4.15,65000,Petrol,Dealer,Manual,0,0.011664881939729888,1224.8126036716385,4853.068952169791
ertiga,2015,5.8,7.71,25870,Petrol,Dealer,Manual,0,0.010129044020825314,5874.845532078682,9016.18352318773
ciaz,2017,7.75,9.29,37000,Petrol,Dealer,Automatic,0,0.0116941420534211,9062.960091401415,10863.857967628275
fortuner,2012,14.9,30.61,104707,Diesel,Dealer,Automatic,0,0.011631788748105472,17331.365234677152,35795.76882552223
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0,0.010129044020825314,23296.80124789822,35795.76882552223
innova,2017,18.0,19.77,15000,Diesel,Dealer,Automatic,0,0.0116941420534211,21049.45569615812,23119.318839613672
fortuner,2013,16.0,30.61,135000,Diesel,Individual,Automatic,0,0.010172339780562286,16275.743648899655,35795.76882552223
innova,2005,2.75,10.21,90000,Petrol,Individual,Manual,0,0.012650669473428534,3478.934105192847,11939.719036543029
corolla altis,2009,3.6,15.04,70000,Petrol,Dealer,Automatic,0,0.0131776438636324,4743.951790907689,17587.989648345454
etios cross,2015,4.5,7.269999999999999,40534,Petrol,Dealer,Manual,0,0.010129044020825314,4558.069809371392,8501.641272837198
corolla altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual,0,0.014107297281664887,6700.966208790822,21680.93936704287
etios g,2014,4.1,6.8,39485,Petrol,Dealer,Manual,1,0.010144755516464432,4159.349761750416,7952.016596326402
fortuner,2014,19.99,35.96,41000,Diesel,Dealer,Automatic,0,0.010144755516464432,20279.3662774124,42052.13482410256
corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,0,0.010172339780562286,7069.776147490788,21762.79836141681
etios cross,2015,4.5,7.7,40588,Petrol,Dealer,Manual,0,0.010129044020825314,4558.069809371392,9004.489381134306
fortuner,2014,18.75,35.96,78000,Diesel,Dealer,Automatic,0,0.010144755516464432,19021.41659337081,42052.13482410256
fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic,0,0.010129044020825314,23803.25344893949,42052.13482410256
fortuner,2017,33.0,36.23,6000,Diesel,Dealer,Automatic,0,0.0116941420534211,38590.668776289895,42367.87665954493
etios liva,2014,4.75,6.95,45000,Diesel,Dealer,Manual,0,0.010144755516464432,4818.758870320606,8127.42872712772
innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,0,0.0116941420534211,23095.93055550683,27071.93885367003
fortuner,2010,9.25,20.45,59000,Diesel,Dealer,Manual,0,0.014107297281664887,13049.24998554002,23914.520499246315
corolla altis,2011,4.35,13.74,88000,Petrol,Dealer,Manual,0,0.013090513043387196,5694.373173873431,16067.7511814007
corolla altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual,0,0.011403847886353811,16250.483238054185,24452.451033703688
etios liva,2014,3.95,6.76,71000,Diesel,Dealer,Manual,0,0.010144755516464432,4007.178429003451,7905.240028112717
corolla altis,2011,4.5,12.48,45000,Diesel,Dealer,Manual,0,0.013090513043387196,5890.730869524238,14594.289282669632
corolla altis,2013,7.45,18.61,56001,Petrol,Dealer,Manual,0,0.010172339780562286,7578.393136518903,21762.79836141681
etios liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual,0,0.013090513043387196,3468.985956497607,6677.355112503494
etios cross,2014,4.9,8.929999999999998,83000,Diesel,Dealer,Manual,0,0.010144755516464432,4970.930203067573,10442.868853705111
etios g,2015,3.95,6.8,36000,Petrol,Dealer,Manual,0,0.010129044020825314,4000.972388225999,7952.016596326402
corolla altis,2013,5.5,14.68,72000,Petrol,Dealer,Manual,0,0.010172339780562286,5594.786879309257,17167.000534422292
corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,0,0.012067908534907633,1810.1862802361447,14442.265435975158
corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic,0,0.014107297281664887,7406.331072874065,26697.726307960555
fortuner,2012,14.5,30.61,89000,Diesel,Dealer,Automatic,0,0.011631788748105472,16866.093684752934,35795.76882552223
corolla altis,2016,14.73,14.89,23000,Diesel,Dealer,Manual,0,0.011403847886353811,16797.867936599167,17412.577517544138
etios gd,2015,4.75,7.849999999999999,40000,Diesel,Dealer,Manual,0,0.010129044020825314,4811.295909892025,9179.901511935626
innova,2017,23.0,25.39,15000,Diesel,Dealer,Automatic,0,0.0116941420534211,26896.52672286871,29691.42667363637
innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual,0,0.010129044020825314,12661.30502603164,15740.315203904907
innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,0,0.012650669473428534,4415.083646226559,15740.315203904907
camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic,3,0.011664881939729888,2916.220484932472,27750.19909276846
land cruiser,2010,35.0,92.6,78000,Diesel,Dealer,Manual,0,0.014107297281664887,49375.540485827114,108287.75541468013
corolla altis,2012,5.9,13.74,56000,Petrol,Dealer,Manual,0,0.011631788748105472,6862.755361382229,16067.7511814007
etios liva,2013,3.45,6.05,47000,Petrol,Dealer,Manual,0,0.010172339780562286,3509.457224293989,7074.955942319814
etios g,2014,4.75,6.76,40000,Petrol,Dealer,Manual,0,0.010144755516464432,4818.758870320606,7905.240028112717
corolla altis,2009,3.8,18.61,62000,Petrol,Dealer,Manual,0,0.0131776438636324,5007.504668180338,21762.79836141681
innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,0,0.010144755516464432,11412.849956022486,18815.87456395468
innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,0,0.012650669473428534,4440.384985173415,16020.974613187016
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0,0.010129044020825314,23296.80124789822,35795.76882552223
corolla altis,2008,4.0,22.78,89000,Petrol,Dealer,Automatic,0,0.012747216326634671,5098.886530653868,26639.25559769345
corolla altis,2012,5.85,18.61,72000,Petrol,Dealer,Manual,0,0.011631788748105472,6804.596417641701,21762.79836141681
innova,2016,20.75,25.39,29000,Diesel,Dealer,Automatic,0,0.011403847886353811,23662.98436418416,29691.42667363637
corolla altis,2017,17.0,18.64,8700,Petrol,Dealer,Manual,0,0.0116941420534211,19880.04149081601,21797.88078757708
corolla altis,2013,7.05,18.61,45000,Petrol,Dealer,Manual,0,0.010172339780562286,7171.499545296411,21762.79836141681
fortuner,2010,9.65,20.45,50024,Diesel,Dealer,Manual,0,0.014107297281664887,13613.541876806616,23914.520499246315
Royal Enfield Thunder 500,2016,1.75,1.9,3000,Petrol,Individual,Manual,0,0.011403847886353811,1995.673380111917,2221.8869901500243
UM Renegade Mojave,2017,1.7,1.82,1400,Petrol,Individual,Manual,0,0.0116941420534211,1988.0041490816009,2128.3338537226546
KTM RC200,2017,1.65,1.78,4000,Petrol,Individual,Manual,0,0.0116941420534211,1929.5334388144947,2081.5572855089695
Bajaj Dominar 400,2017,1.45,1.6,1200,Petrol,Individual,Manual,0,0.0116941420534211,1695.6505977460713,1871.0627285473888
Royal Enfield Classic 350,2017,1.35,1.47,4100,Petrol,Individual,Manual,0,0.0116941420534211,1578.7091772118597,1719.0388818529134
KTM RC390,2015,1.35,2.37,21700,Petrol,Individual,Manual,0,0.010129044020825314,1367.4209428114175,2771.51166666082
Hyosung GT250R,2014,1.35,3.45,16500,Petrol,Individual,Manual,1,0.010144755516464432,1369.5419947226983,4034.479008430307
Royal Enfield Thunder 350,2013,1.25,1.5,15000,Petrol,Individual,Manual,0,0.010172339780562286,1271.5424725702856,1754.121308013177
Royal Enfield Thunder 350,2016,1.2,1.5,18000,Petrol,Individual,Manual,0,0.011403847886353811,1368.4617463624577,1754.121308013177
Royal Enfield Classic 350,2017,1.2,1.47,11000,Petrol,Individual,Manual,0,0.0116941420534211,1403.2970464105415,1719.0388818529134
KTM RC200,2016,1.2,1.78,6000,Petrol,Individual,Manual,0,0.011403847886353811,1368.4617463624577,2081.5572855089695
Royal Enfield Thunder 350,2016,1.15,1.5,8700,Petrol,Individual,Manual,0,0.011403847886353811,1311.4425069306883,1754.121308013177
KTM 390 Duke ,2014,1.15,2.4,7000,Petrol,Individual,Manual,0,0.010144755516464432,1166.6468843934094,2806.594092821083
Mahindra Mojo XT300,2016,1.15,1.4,35000,Petrol,Individual,Manual,0,0.011403847886353811,1311.4425069306883,1637.1798874789652
Royal Enfield Classic 350,2015,1.15,1.47,17000,Petrol,Individual,Manual,0,0.010129044020825314,1164.840062394911,1719.0388818529134
Royal Enfield Classic 350,2015,1.11,1.47,17500,Petrol,Individual,Manual,0,0.010129044020825314,1124.32388631161,1719.0388818529134
Royal Enfield Classic 350,2013,1.1,1.47,33000,Petrol,Individual,Manual,0,0.010172339780562286,1118.9573758618517,1719.0388818529134
Royal Enfield Thunder 500,2015,1.1,1.9,14000,Petrol,Individual,Manual,0,0.010129044020825314,1114.194842290785,2221.8869901500243
Royal Enfield Classic 350,2015,1.1,1.47,26000,Petrol,Individual,Manual,0,0.010129044020825314,1114.194842290785,1719.0388818529134
Royal Enfield Thunder 500,2013,1.05,1.9,5400,Petrol,Individual,Manual,0,0.010172339780562286,1068.09567695904,2221.8869901500243
Bajaj Pulsar RS200,2016,1.05,1.26,5700,Petrol,Individual,Manual,0,0.011403847886353811,1197.4040280671504,1473.461898731069
Royal Enfield Thunder 350,2011,1.05,1.5,6900,Petrol,Individual,Manual,0,0.013090513043387196,1374.5038695556557,1754.121308013177
Royal Enfield Bullet 350,2016,1.05,1.17,6000,Petrol,Individual,Manual,0,0.011403847886353811,1197.4040280671504,1368.214620250278
Royal Enfield Classic 350,2013,1.0,1.47,46500,Petrol,Individual,Manual,0,0.010172339780562286,1017.2339780562286,1719.0388818529134
Royal Enfield Classic 500,2012,0.95,1.75,11500,Petrol,Individual,Manual,0,0.011631788748105472,1105.0199310700198,2046.4748593487063
Royal Enfield Classic 500,2009,0.9,1.75,40000,Petrol,Individual,Manual,0,0.0131776438636324,1185.9879477269224,2046.4748593487063
Bajaj Avenger 220,2017,0.9,0.95,1300,Petrol,Individual,Manual,0,0.0116941420534211,1052.4727848079062,1110.9434950750122
Bajaj Avenger 150,2016,0.75,0.8,7000,Petrol,Individual,Manual,0,0.011403847886353811,855.288591476536,935.5313642736944
Honda CB Hornet 160R,2017,0.8,0.87,3000,Petrol,Individual,Manual,0,0.0116941420534211,935.5313642736944,1017.3903586476426
Yamaha FZ S V 2.0,2017,0.78,0.8399999999999999,5000,Petrol,Individual,Manual,0,0.0116941420534211,912.1430801668522,982.3079324873792
Honda CB Hornet 160R,2017,0.75,0.87,11000,Petrol,Individual,Manual,0,0.0116941420534211,877.0606540065886,1017.3903586476426
Yamaha FZ 16,2015,0.75,0.82,18000,Petrol,Individual,Manual,0,0.010129044020825314,759.6783015618987,958.9196483805368
Bajaj Avenger 220,2017,0.75,0.95,3500,Petrol,Individual,Manual,0,0.0116941420534211,877.0606540065886,1110.9434950750122
Bajaj Avenger 220,2016,0.7199999999999999,0.95,500,Petrol,Individual,Manual,0,0.011403847886353811,821.0770478174745,1110.9434950750122
TVS Apache RTR 160,2017,0.65,0.81,11800,Petrol,Individual,Manual,0,0.0116941420534211,760.1192334723767,947.2255063271156
Bajaj Pulsar 150,2015,0.65,0.7399999999999999,5000,Petrol,Individual,Manual,0,0.010129044020825314,658.3878613536453,865.3665119531673
Honda CBR 150,2014,0.65,1.2,23500,Petrol,Individual,Manual,0,0.010144755516464432,659.4091085701881,1403.2970464105415
Hero Extreme,2013,0.65,0.787,16000,Petrol,Individual,Manual,0,0.010172339780562286,661.2020857365486,920.3289796042467
Honda CB Hornet 160R,2016,0.5999999999999999,0.87,15000,Petrol,Individual,Manual,0,0.011403847886353811,684.2308731812288,1017.3903586476426
Bajaj Avenger 220 dtsi,2015,0.5999999999999999,0.95,16600,Petrol,Individual,Manual,0,0.010129044020825314,607.7426412495189,1110.9434950750122
Honda CBR 150,2013,0.5999999999999999,1.2,32000,Petrol,Individual,Manual,0,0.010172339780562286,610.340386833737,1403.2970464105415
Bajaj Avenger 150 street,2016,0.5999999999999999,0.8,20000,Petrol,Individual,Manual,0,0.011403847886353811,684.2308731812288,935.5313642736944
Yamaha FZ  v 2.0,2015,0.5999999999999999,0.8399999999999999,29000,Petrol,Individual,Manual,0,0.010129044020825314,607.7426412495189,982.3079324873792
Yamaha FZ  v 2.0,2016,0.5999999999999999,0.8399999999999999,25000,Petrol,Individual,Manual,0,0.011403847886353811,684.2308731812288,982.3079324873792
Bajaj Pulsar  NS 200,2014,0.5999999999999999,0.99,25000,Petrol,Individual,Manual,0,0.010144755516464432,608.6853309878659,1157.7200632886968
TVS Apache RTR 160,2012,0.5999999999999999,0.81,19000,Petrol,Individual,Manual,0,0.011631788748105472,697.9073248863283,947.2255063271156
Hero Extreme,2014,0.55,0.787,15000,Petrol,Individual,Manual,0,0.010144755516464432,557.9615534055438,920.3289796042467
Yamaha FZ S V 2.0,2015,0.55,0.8399999999999999,58000,Petrol,Individual,Manual,0,0.010129044020825314,557.0974211453923,982.3079324873792
Bajaj Pulsar 220 F,2010,0.52,0.94,45000,Petrol,Individual,Manual,0,0.014107297281664887,733.579458646574,1099.2493530215909
Bajaj Pulsar 220 F,2016,0.51,0.94,24000,Petrol,Individual,Manual,0,0.011403847886353811,581.5962422040445,1099.2493530215909
TVS Apache RTR 180,2011,0.5,0.8259999999999998,6000,Petrol,Individual,Manual,0,0.013090513043387196,654.5256521693598,965.9361336125896
Hero Passion X pro,2016,0.5,0.55,31000,Petrol,Individual,Manual,0,0.011403847886353811,570.1923943176905,643.177812938165
Bajaj Pulsar NS 200,2012,0.5,0.99,13000,Petrol,Individual,Manual,0,0.011631788748105472,581.5894374052737,1157.7200632886968
Bajaj Pulsar NS 200,2013,0.5,0.99,45000,Petrol,Individual,Manual,0,0.010172339780562286,508.61698902811435,1157.7200632886968
Yamaha Fazer ,2014,0.5,0.88,8000,Petrol,Individual,Manual,0,0.010144755516464432,507.2377758232216,1029.084500701064
Honda Activa 4G,2017,0.4799999999999999,0.51,4300,Petrol,Individual,Automatic,0,0.0116941420534211,561.3188185642166,596.4012447244802
TVS Sport ,2017,0.4799999999999999,0.52,15000,Petrol,Individual,Manual,0,0.0116941420534211,561.3188185642166,608.0953867779014
Yamaha FZ S V 2.0,2015,0.4799999999999999,0.8399999999999999,23000,Petrol,Individual,Manual,0,0.010129044020825314,486.19411299961513,982.3079324873792
Honda Dream Yuga ,2017,0.4799999999999999,0.54,8600,Petrol,Individual,Manual,0,0.0116941420534211,561.3188185642166,631.4836708847437
Honda Activa 4G,2017,0.45,0.51,4000,Petrol,Individual,Automatic,0,0.0116941420534211,526.2363924039531,596.4012447244802
Bajaj Avenger Street 220,2011,0.45,0.95,24000,Petrol,Individual,Manual,0,0.013090513043387196,589.0730869524239,1110.9434950750122
TVS Apache RTR 180,2014,0.45,0.8259999999999998,23000,Petrol,Individual,Manual,0,0.010144755516464432,456.51399824089947,965.9361336125896
Bajaj Pulsar NS 200,2012,0.45,0.99,14500,Petrol,Individual,Manual,0,0.011631788748105472,523.4304936647462,1157.7200632886968
Bajaj Avenger 220 dtsi,2010,0.45,0.95,27000,Petrol,Individual,Manual,0,0.014107297281664887,634.8283776749199,1110.9434950750122
Hero Splender iSmart,2016,0.45,0.54,14000,Petrol,Individual,Manual,0,0.011403847886353811,513.1731548859217,631.4836708847437
Activa 3g,2016,0.45,0.54,500,Petrol,Individual,Automatic,0,0.011403847886353811,513.1731548859217,631.4836708847437
Hero Passion Pro,2016,0.45,0.55,1000,Petrol,Individual,Manual,0,0.011403847886353811,513.1731548859217,643.177812938165
TVS Apache RTR 160,2014,0.4199999999999999,0.81,42000,Petrol,Individual,Manual,0,0.010144755516464432,426.0797316915061,947.2255063271156
Honda CB Trigger,2013,0.4199999999999999,0.7299999999999999,12000,Petrol,Individual,Manual,0,0.010172339780562286,427.2382707836159,853.6723698997461
Hero Splender iSmart,2015,0.4,0.54,14000,Petrol,Individual,Manual,0,0.010129044020825314,405.16176083301247,631.4836708847437
Yamaha FZ S ,2012,0.4,0.8299999999999998,5500,Petrol,Individual,Manual,0,0.011631788748105472,465.2715499242189,970.6137904339579
Hero Passion Pro,2015,0.4,0.55,6700,Petrol,Individual,Manual,0,0.010129044020825314,405.16176083301247,643.177812938165
Bajaj Pulsar 135 LS,2014,0.4,0.64,13700,Petrol,Individual,Manual,0,0.010144755516464432,405.79022065857725,748.4250914189555
Activa 4g,2017,0.4,0.51,1300,Petrol,Individual,Automatic,0,0.0116941420534211,467.7656821368472,596.4012447244802
Honda CB Unicorn,2015,0.38,0.7199999999999999,38600,Petrol,Individual,Manual,0,0.010129044020825314,384.90367279136194,841.978227846325
Hero Honda CBZ extreme,2011,0.38,0.787,75000,Petrol,Individual,Manual,0,0.013090513043387196,497.43949564871343,920.3289796042467
Honda Karizma,2011,0.3499999999999999,1.05,30000,Petrol,Individual,Manual,0,0.013090513043387196,458.1679565185518,1227.884915609224
Honda Activa 125,2016,0.3499999999999999,0.57,24000,Petrol,Individual,Automatic,0,0.011403847886353811,399.13467602238336,666.5660970450072
TVS Jupyter,2014,0.3499999999999999,0.52,19000,Petrol,Individual,Automatic,0,0.010144755516464432,355.0664430762551,608.0953867779014
Honda Karizma,2010,0.31,1.05,213000,Petrol,Individual,Manual,0,0.014107297281664887,437.3262157316115,1227.884915609224
Hero Honda Passion Pro,2012,0.2999999999999999,0.51,60000,Petrol,Individual,Manual,0,0.011631788748105472,348.9536624431641,596.4012447244802
Hero Splender Plus,2016,0.2999999999999999,0.4799999999999999,50000,Petrol,Individual,Manual,0,0.011403847886353811,342.1154365906144,561.3188185642166
Honda CB Shine,2013,0.2999999999999999,0.5799999999999998,30000,Petrol,Individual,Manual,0,0.010172339780562286,305.1701934168685,678.2602390984283
Bajaj Discover 100,2013,0.27,0.4699999999999999,21000,Petrol,Individual,Manual,0,0.010172339780562286,274.65317407518177,549.6246765107953
Bajaj Pulsar 150,2008,0.25,0.75,26000,Petrol,Individual,Manual,1,0.012747216326634671,318.6804081658668,877.0606540065886
Suzuki Access 125,2008,0.25,0.5799999999999998,1900,Petrol,Individual,Automatic,0,0.012747216326634671,318.6804081658668,678.2602390984283
TVS Wego,2010,0.25,0.52,22000,Petrol,Individual,Automatic,0,0.014107297281664887,352.6824320416222,608.0953867779014
Honda CB twister,2013,0.25,0.51,32000,Petrol,Individual,Manual,0,0.010172339780562286,254.30849451405717,596.4012447244802
Hero Glamour,2013,0.25,0.57,18000,Petrol,Individual,Manual,0,0.010172339780562286,254.30849451405717,666.5660970450072
Hero Super Splendor,2005,0.2,0.57,55000,Petrol,Individual,Manual,0,0.012650669473428534,253.0133894685707,666.5660970450072
Bajaj Pulsar 150,2008,0.2,0.75,60000,Petrol,Individual,Manual,0,0.012747216326634671,254.94432653269345,877.0606540065886
Bajaj Discover 125,2012,0.2,0.57,25000,Petrol,Individual,Manual,1,0.011631788748105472,232.63577496210945,666.5660970450072
Hero Hunk,2007,0.2,0.75,49000,Petrol,Individual,Manual,1,0.0123759925546028,247.5198510920576,877.0606540065886
Hero  Ignitor Disc,2013,0.2,0.65,24000,Petrol,Individual,Manual,1,0.010172339780562286,203.44679561124573,760.1192334723767
Hero  CBZ Xtreme,2008,0.2,0.787,50000,Petrol,Individual,Manual,0,0.012747216326634671,254.94432653269345,920.3289796042467
Bajaj  ct 100,2015,0.1799999999999999,0.32,35000,Petrol,Individual,Manual,0,0.010129044020825314,182.3227923748556,374.21254570947775
Activa 3g,2008,0.17,0.52,500000,Petrol,Individual,Automatic,0,0.012747216326634671,216.70267755278945,608.0953867779014
Honda CB twister,2010,0.16,0.51,33000,Petrol,Individual,Manual,0,0.014107297281664887,225.7167565066382,596.4012447244802
Bajaj Discover 125,2011,0.1499999999999999,0.57,35000,Petrol,Individual,Manual,1,0.013090513043387196,196.35769565080795,666.5660970450072
Honda CB Shine,2007,0.12,0.5799999999999998,53000,Petrol,Individual,Manual,0,0.0123759925546028,148.51191065523454,678.2602390984283
Bajaj Pulsar 150,2006,0.1,0.75,92233,Petrol,Individual,Manual,0,0.011664881939729888,116.64881939729888,877.0606540065886
i20,2010,3.25,6.79,58000,Diesel,Dealer,Manual,1,0.014107297281664887,4584.871616541089,7940.32245427298
grand i10,2015,4.4,5.7,28200,Petrol,Dealer,Manual,0,0.010129044020825314,4456.779369163139,6665.660970450072
i10,2011,2.95,4.6,53460,Petrol,Dealer,Manual,0,0.013090513043387196,3861.701347799224,5379.305344573742
eon,2015,2.75,4.43,28282,Petrol,Dealer,Manual,0,0.010129044020825314,2785.4871057269606,5180.504929665583
grand i10,2016,5.25,5.7,3493,Petrol,Dealer,Manual,1,0.011403847886353811,5987.020140335752,6665.660970450072
xcent,2017,5.75,7.13,12479,Petrol,Dealer,Manual,0,0.0116941420534211,6724.131680717178,8337.923284089302
grand i10,2015,5.15,5.7,34797,Petrol,Dealer,Automatic,0,0.010129044020825314,5216.457670725037,6665.660970450072
i20,2017,7.9,8.099999999999998,3435,Petrol,Dealer,Manual,0,0.0116941420534211,9238.372222202734,9472.255063271155
grand i10,2015,4.85,5.7,21125,Diesel,Dealer,Manual,0,0.010129044020825314,4912.586350100277,6665.660970450072
i10,2012,3.1,4.6,35775,Petrol,Dealer,Manual,0,0.011631788748105472,3605.854511912696,5379.305344573742
elantra,2015,11.75,14.79,43535,Diesel,Dealer,Manual,0,0.010129044020825314,11901.626724469745,17295.636097009927
creta,2016,11.25,13.6,22671,Petrol,Dealer,Manual,0,0.011403847886353811,12829.32887214804,15904.033192652803
i20,2011,2.9,6.79,31604,Petrol,Dealer,Manual,0,0.013090513043387196,3796.2487825822873,7940.32245427298
grand i10,2017,5.25,5.7,20114,Petrol,Dealer,Manual,0,0.0116941420534211,6139.42457804612,6665.660970450072
verna,2012,4.5,9.4,36100,Petrol,Dealer,Manual,0,0.011631788748105472,5234.304936647463,10992.49353021591
eon,2016,2.9,4.43,12500,Petrol,Dealer,Manual,0,0.011403847886353811,3307.1158870426048,5180.504929665583
