Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Conversion,GBP_Selling_Price,GBP_Present_Price
alto k10,2014,2.5499999999999998,3.98,46706,Petrol,Dealer,Manual,0,1.0144755516464432E-2,2586.9126566984301,4654.2685372616297
sx4,2008,1.95,7.1500000000000004,58000,Petrol,Dealer,Manual,0,1.2747216326634671E-2,2485.7071836937607,8361.3115681961444
dzire,2014,5.5,8.0600000000000005,45780,Diesel,Dealer,Manual,0,1.0144755516464432E-2,5579.6155340554378,9425.4784950574704
omni,2012,1.25,2.6899999999999999,50000,Petrol,Dealer,Manual,0,1.1631788748105472E-2,1453.9735935131839,3145.7242123702972
ciaz,2014,7.5,12.039999999999999,15000,Petrol,Dealer,Automatic,0,1.0144755516464432E-2,7608.5666373483236,14079.747032319101
ritz,2013,2.6499999999999999,4.8899999999999997,64532,Petrol,Dealer,Manual,0,1.0172339780562286E-2,2695.6700418490054,5718.4354641229565
wagon r,2006,1.05,4.1500000000000004,65000,Petrol,Dealer,Manual,0,1.1664881939729888E-2,1224.8126036716383,4853.0689521697905
ertiga,2015,5.7999999999999998,7.71,25870,Petrol,Dealer,Manual,0,1.0129044020825314E-2,5874.8455320786816,9016.1835231877303
ciaz,2017,7.75,9.2899999999999991,37000,Petrol,Dealer,Automatic,0,0.01169414205342118,9062.9600914014154,10863.857967628275
fortuner,2012,14.9,30.609999999999999,104707,Diesel,Dealer,Automatic,0,1.1631788748105472E-2,17331.365234677152,35795.768825522231
fortuner,2015,23,30.609999999999999,40000,Diesel,Dealer,Automatic,0,1.0129044020825314E-2,23296.80124789822,35795.768825522231
innova,2017,18,19.77,15000,Diesel,Dealer,Automatic,0,0.01169414205342118,21049.455696158122,23119.318839613672
fortuner,2013,16,30.609999999999999,135000,Diesel,Individual,Automatic,0,1.0172339780562286E-2,16275.743648899657,35795.768825522231
innova,2005,2.75,10.210000000000001,90000,Petrol,Individual,Manual,0,1.2650669473428534E-2,3478.9341051928468,11939.719036543027
corolla altis,2009,3.6000000000000001,15.039999999999999,70000,Petrol,Dealer,Automatic,0,0.01317764386363247,4743.9517909076894,17587.989648345454
etios cross,2015,4.5,7.2699999999999996,40534,Petrol,Dealer,Manual,0,1.0129044020825314E-2,4558.0698093713918,8501.6412728371979
corolla altis,2010,4.75,18.539999999999999,50000,Petrol,Dealer,Manual,0,1.4107297281664887E-2,6700.9662087908218,21680.939367042869
etios g,2014,4.0999999999999996,6.7999999999999998,39485,Petrol,Dealer,Manual,1,1.0144755516464432E-2,4159.3497617504163,7952.0165963264026
fortuner,2014,19.989999999999998,35.960000000000001,41000,Diesel,Dealer,Automatic,0,1.0144755516464432E-2,20279.366277412399,42052.134824102563
corolla altis,2013,6.9500000000000002,18.609999999999999,40001,Petrol,Dealer,Manual,0,1.0172339780562286E-2,7069.7761474907893,21762.798361416815
etios cross,2015,4.5,7.7000000000000002,40588,Petrol,Dealer,Manual,0,1.0129044020825314E-2,4558.0698093713918,9004.4893811343081
fortuner,2014,18.75,35.960000000000001,78000,Diesel,Dealer,Automatic,0,1.0144755516464432E-2,19021.41659337081,42052.134824102563
fortuner,2015,23.5,35.960000000000001,47000,Diesel,Dealer,Automatic,0,1.0129044020825314E-2,23803.253448939489,42052.134824102563
fortuner,2017,33,36.229999999999997,6000,Diesel,Dealer,Automatic,0,0.01169414205342118,38590.668776289895,42367.876659544927
etios liva,2014,4.75,6.9500000000000002,45000,Diesel,Dealer,Manual,0,1.0144755516464432E-2,4818.7588703206056,8127.4287271277199
innova,2017,19.75,23.149999999999999,11000,Petrol,Dealer,Automatic,0,0.01169414205342118,23095.930555506831,27071.938853670032
fortuner,2010,9.25,20.449999999999999,59000,Diesel,Dealer,Manual,0,1.4107297281664887E-2,13049.24998554002,23914.520499246315
corolla altis,2011,4.3499999999999996,13.74,88000,Petrol,Dealer,Manual,0,1.3090513043387196E-2,5694.3731738734305,16067.751181400701
corolla altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual,0,1.1403847886353813E-2,16250.483238054183,24452.451033703688
etios liva,2014,3.9500000000000002,6.7599999999999998,71000,Diesel,Dealer,Manual,0,1.0144755516464432E-2,4007.1784290034511,7905.2400281127175
corolla altis,2011,4.5,12.48,45000,Diesel,Dealer,Manual,0,1.3090513043387196E-2,5890.7308695242382,14594.289282669633
corolla altis,2013,7.4500000000000002,18.609999999999999,56001,Petrol,Dealer,Manual,0,1.0172339780562286E-2,7578.3931365189028,21762.798361416815
etios liva,2011,2.6499999999999999,5.71,43000,Petrol,Dealer,Manual,0,1.3090513043387196E-2,3468.9859564976068,6677.3551125034937
etios cross,2014,4.9000000000000004,8.9299999999999997,83000,Diesel,Dealer,Manual,0,1.0144755516464432E-2,4970.9302030675726,10442.868853705113
etios g,2015,3.9500000000000002,6.7999999999999998,36000,Petrol,Dealer,Manual,0,1.0129044020825314E-2,4000.9723882259991,7952.0165963264026
corolla altis,2013,5.5,14.68,72000,Petrol,Dealer,Manual,0,1.0172339780562286E-2,5594.7868793092566,17167.000534422292
corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,0,1.2067908534907633E-2,1810.1862802361447,14442.265435975158
corolla altis,2010,5.25,22.829999999999998,80000,Petrol,Dealer,Automatic,0,1.4107297281664887E-2,7406.3310728740662,26697.726307960555
fortuner,2012,14.5,30.609999999999999,89000,Diesel,Dealer,Automatic,0,1.1631788748105472E-2,16866.093684752934,35795.768825522231
corolla altis,2016,14.73,14.890000000000001,23000,Diesel,Dealer,Manual,0,1.1403847886353813E-2,16797.867936599167,17412.577517544138
etios gd,2015,4.75,7.8499999999999996,40000,Diesel,Dealer,Manual,0,1.0129044020825314E-2,4811.2959098920246,9179.9015119356263
innova,2017,23,25.390000000000001,15000,Diesel,Dealer,Automatic,0,0.01169414205342118,26896.526722868712,29691.426673636375
innova,2015,12.5,13.460000000000001,38000,Diesel,Dealer,Manual,0,1.0129044020825314E-2,12661.305026031641,15740.315203904909
innova,2005,3.4900000000000002,13.460000000000001,197176,Diesel,Dealer,Manual,0,1.2650669473428534E-2,4415.0836462265588,15740.315203904909
camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic,3,1.1664881939729888E-2,2916.2204849324717,27750.19909276846
land cruiser,2010,35,92.599999999999994,78000,Diesel,Dealer,Manual,0,1.4107297281664887E-2,49375.540485827107,108287.75541468013
corolla altis,2012,5.9000000000000004,13.74,56000,Petrol,Dealer,Manual,0,1.1631788748105472E-2,6862.7553613822292,16067.751181400701
etios liva,2013,3.4500000000000002,6.0499999999999998,47000,Petrol,Dealer,Manual,0,1.0172339780562286E-2,3509.4572242939889,7074.9559423198143
etios g,2014,4.75,6.7599999999999998,40000,Petrol,Dealer,Manual,0,1.0144755516464432E-2,4818.7588703206056,7905.2400281127175
corolla altis,2009,3.7999999999999998,18.609999999999999,62000,Petrol,Dealer,Manual,0,0.01317764386363247,5007.5046681803378,21762.798361416815
innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,0,1.0144755516464432E-2,11412.849956022486,18815.87456395468
innova,2005,3.5099999999999998,13.699999999999999,75000,Petrol,Dealer,Manual,0,1.2650669473428534E-2,4440.3849851734149,16020.974613187016
fortuner,2015,23,30.609999999999999,40000,Diesel,Dealer,Automatic,0,1.0129044020825314E-2,23296.80124789822,35795.768825522231
corolla altis,2008,4,22.780000000000001,89000,Petrol,Dealer,Automatic,0,1.2747216326634671E-2,5098.8865306538682,26639.255597693449
corolla altis,2012,5.8499999999999996,18.609999999999999,72000,Petrol,Dealer,Manual,0,1.1631788748105472E-2,6804.596417641701,21762.798361416815
innova,2016,20.75,25.390000000000001,29000,Diesel,Dealer,Automatic,0,1.1403847886353813E-2,23662.984364184162,29691.426673636375
corolla altis,2017,17,18.640000000000001,8700,Petrol,Dealer,Manual,0,0.01169414205342118,19880.041490816006,21797.88078757708
corolla altis,2013,7.0499999999999998,18.609999999999999,45000,Petrol,Dealer,Manual,0,1.0172339780562286E-2,7171.4995452964113,21762.798361416815
fortuner,2010,9.6500000000000004,20.449999999999999,50024,Diesel,Dealer,Manual,0,1.4107297281664887E-2,13613.541876806617,23914.520499246315
Royal Enfield Thunder 500,2016,1.75,1.8999999999999999,3000,Petrol,Individual,Manual,0,1.1403847886353813E-2,1995.6733801119171,2221.8869901500243
UM Renegade Mojave,2017,1.7,1.8200000000000001,1400,Petrol,Individual,Manual,0,0.01169414205342118,1988.0041490816006,2128.3338537226546
KTM RC200,2017,1.6499999999999999,1.78,4000,Petrol,Individual,Manual,0,0.01169414205342118,1929.5334388144947,2081.5572855089699
Bajaj Dominar 400,2017,1.45,1.6000000000000001,1200,Petrol,Individual,Manual,0,0.01169414205342118,1695.6505977460711,1871.0627285473888
Royal Enfield Classic 350,2017,1.3500000000000001,1.47,4100,Petrol,Individual,Manual,0,0.01169414205342118,1578.7091772118595,1719.0388818529134
KTM RC390,2015,1.3500000000000001,2.3700000000000001,21700,Petrol,Individual,Manual,0,1.0129044020825314E-2,1367.4209428114175,2771.5116666608196
Hyosung GT250R,2014,1.3500000000000001,3.4500000000000002,16500,Petrol,Individual,Manual,1,1.0144755516464432E-2,1369.5419947226985,4034.4790084303072
Royal Enfield Thunder 350,2013,1.25,1.5,15000,Petrol,Individual,Manual,0,1.0172339780562286E-2,1271.5424725702856,1754.121308013177
Royal Enfield Thunder 350,2016,1.2,1.5,18000,Petrol,Individual,Manual,0,1.1403847886353813E-2,1368.4617463624577,1754.121308013177
Royal Enfield Classic 350,2017,1.2,1.47,11000,Petrol,Individual,Manual,0,0.01169414205342118,1403.2970464105415,1719.0388818529134
KTM RC200,2016,1.2,1.78,6000,Petrol,Individual,Manual,0,1.1403847886353813E-2,1368.4617463624577,2081.5572855089699
Royal Enfield Thunder 350,2016,1.1499999999999999,1.5,8700,Petrol,Individual,Manual,0,1.1403847886353813E-2,1311.4425069306883,1754.121308013177
KTM 390 Duke ,2014,1.1499999999999999,2.3999999999999999,7000,Petrol,Individual,Manual,0,1.0144755516464432E-2,1166.6468843934094,2806.594092821083
Mahindra Mojo XT300,2016,1.1499999999999999,1.3999999999999999,35000,Petrol,Individual,Manual,0,1.1403847886353813E-2,1311.4425069306883,1637.1798874789652
Royal Enfield Classic 350,2015,1.1499999999999999,1.47,17000,Petrol,Individual,Manual,0,1.0129044020825314E-2,1164.840062394911,1719.0388818529134
Royal Enfield Classic 350,2015,1.1100000000000001,1.47,17500,Petrol,Individual,Manual,0,1.0129044020825314E-2,1124.3238863116101,1719.0388818529134
Royal Enfield Classic 350,2013,1.1000000000000001,1.47,33000,Petrol,Individual,Manual,0,1.0172339780562286E-2,1118.9573758618515,1719.0388818529134
Royal Enfield Thunder 500,2015,1.1000000000000001,1.8999999999999999,14000,Petrol,Individual,Manual,0,1.0129044020825314E-2,1114.1948422907847,2221.8869901500243
Royal Enfield Classic 350,2015,1.1000000000000001,1.47,26000,Petrol,Individual,Manual,0,1.0129044020825314E-2,1114.1948422907847,1719.0388818529134
Royal Enfield Thunder 500,2013,1.05,1.8999999999999999,5400,Petrol,Individual,Manual,0,1.0172339780562286E-2,1068.09567695904,2221.8869901500243
Bajaj Pulsar RS200,2016,1.05,1.26,5700,Petrol,Individual,Manual,0,1.1403847886353813E-2,1197.4040280671504,1473.4618987310687
Royal Enfield Thunder 350,2011,1.05,1.5,6900,Petrol,Individual,Manual,0,1.3090513043387196E-2,1374.5038695556557,1754.121308013177
Royal Enfield Bullet 350,2016,1.05,1.1699999999999999,6000,Petrol,Individual,Manual,0,1.1403847886353813E-2,1197.4040280671504,1368.2146202502781
Royal Enfield Classic 350,2013,1,1.47,46500,Petrol,Individual,Manual,0,1.0172339780562286E-2,1017.2339780562286,1719.0388818529134
Royal Enfield Classic 500,2012,0.94999999999999996,1.75,11500,Petrol,Individual,Manual,0,1.1631788748105472E-2,1105.0199310700198,2046.4748593487066
Royal Enfield Classic 500,2009,0.90000000000000002,1.75,40000,Petrol,Individual,Manual,0,0.01317764386363247,1185.9879477269224,2046.4748593487066
Bajaj Avenger 220,2017,0.90000000000000002,0.94999999999999996,1300,Petrol,Individual,Manual,0,0.01169414205342118,1052.4727848079062,1110.9434950750122
Bajaj Avenger 150,2016,0.75,0.80000000000000004,7000,Petrol,Individual,Manual,0,1.1403847886353813E-2,855.288591476536,935.53136427369441
Honda CB Hornet 160R,2017,0.80000000000000004,0.87,3000,Petrol,Individual,Manual,0,0.01169414205342118,935.53136427369441,1017.3903586476426
Yamaha FZ S V 2.0,2017,0.78000000000000003,0.83999999999999997,5000,Petrol,Individual,Manual,0,0.01169414205342118,912.14308016685209,982.30793248737916
Honda CB Hornet 160R,2017,0.75,0.87,11000,Petrol,Individual,Manual,0,0.01169414205342118,877.06065400658849,1017.3903586476426
Yamaha FZ 16,2015,0.75,0.81999999999999995,18000,Petrol,Individual,Manual,0,1.0129044020825314E-2,759.67830156189859,958.91964838053673
Bajaj Avenger 220,2017,0.75,0.94999999999999996,3500,Petrol,Individual,Manual,0,0.01169414205342118,877.06065400658849,1110.9434950750122
Bajaj Avenger 220,2016,0.71999999999999997,0.94999999999999996,500,Petrol,Individual,Manual,0,1.1403847886353813E-2,821.07704781747452,1110.9434950750122
TVS Apache RTR 160,2017,0.65000000000000002,0.81000000000000005,11800,Petrol,Individual,Manual,0,0.01169414205342118,760.11923347237678,947.22550632711557
Bajaj Pulsar 150,2015,0.65000000000000002,0.73999999999999999,5000,Petrol,Individual,Manual,0,1.0129044020825314E-2,658.38786135364535,865.36651195316733
Honda CBR 150,2014,0.65000000000000002,1.2,23500,Petrol,Individual,Manual,0,1.0144755516464432E-2,659.4091085701881,1403.2970464105415
Hero Extreme,2013,0.65000000000000002,0.78700000000000003,16000,Petrol,Individual,Manual,0,1.0172339780562286E-2,661.20208573654861,920.32897960424691
Honda CB Hornet 160R,2016,0.59999999999999998,0.87,15000,Petrol,Individual,Manual,0,1.1403847886353813E-2,684.23087318122884,1017.3903586476426
Bajaj Avenger 220 dtsi,2015,0.59999999999999998,0.94999999999999996,16600,Petrol,Individual,Manual,0,1.0129044020825314E-2,607.7426412495189,1110.9434950750122
Honda CBR 150,2013,0.59999999999999998,1.2,32000,Petrol,Individual,Manual,0,1.0172339780562286E-2,610.34038683373706,1403.2970464105415
Bajaj Avenger 150 street,2016,0.59999999999999998,0.80000000000000004,20000,Petrol,Individual,Manual,0,1.1403847886353813E-2,684.23087318122884,935.53136427369441
Yamaha FZ  v 2.0,2015,0.59999999999999998,0.83999999999999997,29000,Petrol,Individual,Manual,0,1.0129044020825314E-2,607.7426412495189,982.30793248737916
Yamaha FZ  v 2.0,2016,0.59999999999999998,0.83999999999999997,25000,Petrol,Individual,Manual,0,1.1403847886353813E-2,684.23087318122884,982.30793248737916
Bajaj Pulsar  NS 200,2014,0.59999999999999998,0.98999999999999999,25000,Petrol,Individual,Manual,0,1.0144755516464432E-2,608.68533098786588,1157.7200632886968
TVS Apache RTR 160,2012,0.59999999999999998,0.81000000000000005,19000,Petrol,Individual,Manual,0,1.1631788748105472E-2,697.9073248863283,947.22550632711557
Hero Extreme,2014,0.55000000000000004,0.78700000000000003,15000,Petrol,Individual,Manual,0,1.0144755516464432E-2,557.96155340554378,920.32897960424691
Yamaha FZ S V 2.0,2015,0.55000000000000004,0.83999999999999997,58000,Petrol,Individual,Manual,0,1.0129044020825314E-2,557.09742114539233,982.30793248737916
Bajaj Pulsar 220 F,2010,0.52000000000000002,0.93999999999999995,45000,Petrol,Individual,Manual,0,1.4107297281664887E-2,733.57945864657415,1099.2493530215909
Bajaj Pulsar 220 F,2016,0.51000000000000001,0.93999999999999995,24000,Petrol,Individual,Manual,0,1.1403847886353813E-2,581.59624220404453,1099.2493530215909
TVS Apache RTR 180,2011,0.5,0.82599999999999996,6000,Petrol,Individual,Manual,0,1.3090513043387196E-2,654.52565216935977,965.93613361258951
Hero Passion X pro,2016,0.5,0.55000000000000004,31000,Petrol,Individual,Manual,0,1.1403847886353813E-2,570.19239431769063,643.17781293816495
Bajaj Pulsar NS 200,2012,0.5,0.98999999999999999,13000,Petrol,Individual,Manual,0,1.1631788748105472E-2,581.58943740527366,1157.7200632886968
Bajaj Pulsar NS 200,2013,0.5,0.98999999999999999,45000,Petrol,Individual,Manual,0,1.0172339780562286E-2,508.61698902811429,1157.7200632886968
Yamaha Fazer ,2014,0.5,0.88,8000,Petrol,Individual,Manual,0,1.0144755516464432E-2,507.23777582322163,1029.0845007010639
Honda Activa 4G,2017,0.47999999999999998,0.51000000000000001,4300,Petrol,Individual,Automatic,0,0.01169414205342118,561.3188185642166,596.40124472448019
TVS Sport ,2017,0.47999999999999998,0.52000000000000002,15000,Petrol,Individual,Manual,0,0.01169414205342118,561.3188185642166,608.09538677790135
Yamaha FZ S V 2.0,2015,0.47999999999999998,0.83999999999999997,23000,Petrol,Individual,Manual,0,1.0129044020825314E-2,486.19411299961507,982.30793248737916
Honda Dream Yuga ,2017,0.47999999999999998,0.54000000000000004,8600,Petrol,Individual,Manual,0,0.01169414205342118,561.3188185642166,631.48367088474367
Honda Activa 4G,2017,0.45000000000000001,0.51000000000000001,4000,Petrol,Individual,Automatic,0,0.01169414205342118,526.23639240395312,596.40124472448019
Bajaj Avenger Street 220,2011,0.45000000000000001,0.94999999999999996,24000,Petrol,Individual,Manual,0,1.3090513043387196E-2,589.07308695242386,1110.9434950750122
TVS Apache RTR 180,2014,0.45000000000000001,0.82599999999999996,23000,Petrol,Individual,Manual,0,1.0144755516464432E-2,456.51399824089947,965.93613361258951
Bajaj Pulsar NS 200,2012,0.45000000000000001,0.98999999999999999,14500,Petrol,Individual,Manual,0,1.1631788748105472E-2,523.43049366474622,1157.7200632886968
Bajaj Avenger 220 dtsi,2010,0.45000000000000001,0.94999999999999996,27000,Petrol,Individual,Manual,0,1.4107297281664887E-2,634.82837767491992,1110.9434950750122
Hero Splender iSmart,2016,0.45000000000000001,0.54000000000000004,14000,Petrol,Individual,Manual,0,1.1403847886353813E-2,513.17315488592169,631.48367088474367
Activa 3g,2016,0.45000000000000001,0.54000000000000004,500,Petrol,Individual,Automatic,0,1.1403847886353813E-2,513.17315488592169,631.48367088474367
Hero Passion Pro,2016,0.45000000000000001,0.55000000000000004,1000,Petrol,Individual,Manual,0,1.1403847886353813E-2,513.17315488592169,643.17781293816495
TVS Apache RTR 160,2014,0.41999999999999998,0.81000000000000005,42000,Petrol,Individual,Manual,0,1.0144755516464432E-2,426.07973169150614,947.22550632711557
Honda CB Trigger,2013,0.41999999999999998,0.72999999999999998,12000,Petrol,Individual,Manual,0,1.0172339780562286E-2,427.23827078361592,853.67236989974617
Hero Splender iSmart,2015,0.40000000000000002,0.54000000000000004,14000,Petrol,Individual,Manual,0,1.0129044020825314E-2,405.16176083301252,631.48367088474367
Yamaha FZ S ,2012,0.40000000000000002,0.82999999999999996,5500,Petrol,Individual,Manual,0,1.1631788748105472E-2,465.2715499242189,970.61379043395789
Hero Passion Pro,2015,0.40000000000000002,0.55000000000000004,6700,Petrol,Individual,Manual,0,1.0129044020825314E-2,405.16176083301252,643.17781293816495
Bajaj Pulsar 135 LS,2014,0.40000000000000002,0.64000000000000001,13700,Petrol,Individual,Manual,0,1.0144755516464432E-2,405.79022065857731,748.4250914189555
Activa 4g,2017,0.40000000000000002,0.51000000000000001,1300,Petrol,Individual,Automatic,0,0.01169414205342118,467.7656821368472,596.40124472448019
Honda CB Unicorn,2015,0.38,0.71999999999999997,38600,Petrol,Individual,Manual,0,1.0129044020825314E-2,384.90367279136194,841.97822784632501
Hero Honda CBZ extreme,2011,0.38,0.78700000000000003,75000,Petrol,Individual,Manual,0,1.3090513043387196E-2,497.43949564871343,920.32897960424691
Honda Karizma,2011,0.34999999999999998,1.05,30000,Petrol,Individual,Manual,0,1.3090513043387196E-2,458.16795651855182,1227.884915609224
Honda Activa 125,2016,0.34999999999999998,0.56999999999999995,24000,Petrol,Individual,Automatic,0,1.1403847886353813E-2,399.13467602238342,666.56609704500715
TVS Jupyter,2014,0.34999999999999998,0.52000000000000002,19000,Petrol,Individual,Automatic,0,1.0144755516464432E-2,355.0664430762551,608.09538677790135
Honda Karizma,2010,0.31,1.05,213000,Petrol,Individual,Manual,0,1.4107297281664887E-2,437.32621573161151,1227.884915609224
Hero Honda Passion Pro,2012,0.29999999999999999,0.51000000000000001,60000,Petrol,Individual,Manual,0,1.1631788748105472E-2,348.95366244316415,596.40124472448019
Hero Splender Plus,2016,0.29999999999999999,0.47999999999999998,50000,Petrol,Individual,Manual,0,1.1403847886353813E-2,342.11543659061442,561.3188185642166
Honda CB Shine,2013,0.29999999999999999,0.57999999999999996,30000,Petrol,Individual,Manual,0,1.0172339780562286E-2,305.17019341686853,678.26023909842831
Bajaj Discover 100,2013,0.27000000000000002,0.46999999999999997,21000,Petrol,Individual,Manual,0,1.0172339780562286E-2,274.65317407518177,549.62467651079544
Bajaj Pulsar 150,2008,0.25,0.75,26000,Petrol,Individual,Manual,1,1.2747216326634671E-2,318.68040816586677,877.06065400658849
Suzuki Access 125,2008,0.25,0.57999999999999996,1900,Petrol,Individual,Automatic,0,1.2747216326634671E-2,318.68040816586677,678.26023909842831
TVS Wego,2010,0.25,0.52000000000000002,22000,Petrol,Individual,Automatic,0,1.4107297281664887E-2,352.68243204162218,608.09538677790135
Honda CB twister,2013,0.25,0.51000000000000001,32000,Petrol,Individual,Manual,0,1.0172339780562286E-2,254.30849451405714,596.40124472448019
Hero Glamour,2013,0.25,0.56999999999999995,18000,Petrol,Individual,Manual,0,1.0172339780562286E-2,254.30849451405714,666.56609704500715
Hero Super Splendor,2005,0.20000000000000001,0.56999999999999995,55000,Petrol,Individual,Manual,0,1.2650669473428534E-2,253.01338946857069,666.56609704500715
Bajaj Pulsar 150,2008,0.20000000000000001,0.75,60000,Petrol,Individual,Manual,0,1.2747216326634671E-2,254.94432653269342,877.06065400658849
